contact_method_id,contact_type_method_id,is_preferred_flag,contact_hours,method_end_date,extraction_timestamp,date,history_date
9158144493513279539,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144546213280933,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144553613281034,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144589813281598,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144678613285154,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144679613285154,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144690013285871,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137926413252120,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143992713256377,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144002113256625,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144170913272530,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144179813272530,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144195613273072,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144202713273116,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144205713273267,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144208013273367,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144222513273785,9134256590013157288,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144295513275624,9147359779513855381,No,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
