customer_ref,account_num,subs_id,otc_seq,otc_dtm,bill_dtm,actual_bill_dtm,bill_version,bpi_id,productoffering_id,productoffering_name,tariff_plan_id,tariff_plan_name,customer_category_id,customer_category_value,otc_status_id,otc_status_value,otc_mny,cps_id,cps_name,created_dtm,geneva_user_ora,realtime_charge_boo,revenue_code_id,revenue_code_value,receivable_class_id,receivable_class_name,otc_class_id,otc_class_value,domain_id,otc_label,service_address_seq,product_seq,budget_centre_seq,bill_seq,rev_recognition_class_id,otc_txt,cancelled_txt,originating_bill_seq,originating_bill_version,otc_installment_seq,installment_number,termination_dtm,product_quantity,previous_otc_mny,revenue_start_dat,revenue_end_dat,upre_seq,domain_group_id,actual_mny,otc_tax_mny,disc_id_applied_on_otc_create,precalc_disc_amount_on_otc,discounted_otc_on_creation_boo,alt_currency_code,alt_currency_otc_mny,rtpc_otc_lines_tax_mny,currency_conversion_ref_dat,otc_value,prepaid_installment_boo,extraction_timestamp,date,history_date
1000164881,2000164561,NULL,919,2020-11-11 18:22:24,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 18:22:24,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,15860437,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164922,2000164603,NULL,922,2020-11-11 21:14:33,2020-12-01 00:00:00,2020-12-01 21:25:40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 21:14:33,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,620324285,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery included in Bill,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164925,2000164606,NULL,925,2020-11-11 21:18:39,2020-12-01 00:00:00,2020-12-01 21:26:13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-11 21:18:39,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,289708222,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery included in Bill,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000165110,2000164865,NULL,1301,2020-11-19 10:27:23,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,100000,10003,Oman,2020-11-19 10:27:23,ECAUSER,F,200000039,200000039,10001,Default,1,One-time Charge.,282665120,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Premium Phone Number Postpaid,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000165158,2000164923,NULL,1304,2020-11-19 18:11:01,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-19 18:11:01,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,618400738,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000165212,2000164984,NULL,1306,2020-11-19 19:04:57,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-19 19:04:57,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,981587224,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000165478,2000165299,NULL,1405,2020-11-23 14:28:09,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-23 14:28:09,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,590043355,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000168407,2000168006,NULL,1,2020-11-04 09:14:48,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Created.,0,10003,Oman,2020-11-04 09:14:48,ECAUSER,F,200000033,200000033,10001,Default,1,One-time Charge.,873889279,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000163954,2000163953,NULL,1,2020-11-23 10:16:16,NULL,NULL,1,9158904173413932341,7610000000,VF Red - M,7610000000,VF Red - M,9145846203913115265,Consumer,1,Created.,0,10003,Oman,2020-11-23 10:16:16,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,566702417,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163956,2000163955,NULL,3,2020-11-23 10:16:33,NULL,NULL,1,9158904170613932852,7610000000,VF Red - M,7610000000,VF Red - M,9145846203913115265,Consumer,1,Created.,0,10003,Oman,2020-11-23 10:16:33,ECAUSER,F,-1,Undefined,-1,System Default,1,One-time Charge.,759941606,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Courier Delivery,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
