account_num,customer_ref,account_payment_seq,payment_channel_id,csr_id,vodafone_store_code,payment_confirmation_date,payment_extract_date,payment_transaction_id,csr_name,payment_file_name,file_batch_id,so_number,upfront_payment_part_id,invoice_number,payment_source,sales_order,extraction_timestamp,date,history_date
2000163990,1000163990,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904226813942614,9158904228513943999,NULL,Point of Sale	,9158904226813942614,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164007,1000164007,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904572313964560,9158904581813965322,NULL,Point of Sale	,9158904572313964560,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164015,1000164013,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158905233913981911,9158905235113982376,NULL,Point of Sale	,9158905233913981911,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164029,1000164028,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158905498513996433,9158905517913996675,NULL,Point of Sale	,9158905498513996433,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164128,1000164128,3,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164129,1000164129,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159017056313238500,9159017061513238876,NULL,Point of Sale	,9159017056313238500,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164149,1000164168,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159024951713404500,9159025061013405075,NULL,Point of Sale	,9159024951713404500,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164150,1000164169,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159024957113404600,9159025060113405298,NULL,Point of Sale	,9159024957113404600,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164152,1000164171,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159025813613411128,9159025818913411368,NULL,Point of Sale	,9159025813613411128,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164169,1000164176,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159026200613421687,9159026234813421814,NULL,Point of Sale	,9159026200613421687,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,5,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
