group_value,group_id,created_by_value,created_when,email,modified_by_value,modified_when,extraction_timestamp,date,history_date
Warehouse: Store Warehouse 1,9154316042013292855,sysadm,2019-06-11 09:28:59,NULL,sysadm,2019-06-11 14:15:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Domain security,9154393366913341053,sysadm,2019-06-20 08:15:10,NULL,sysadm,2019-06-20 17:40:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_Wholesale_Fixed_Internet_and_VTV_Agent_Dispatcher,9154948988913277266,sysadm,2019-08-23 15:42:02,NULL,sysadm,2019-12-06 15:04:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_Contractor_Dispatcher_NC_Manager,9154948988913277278,sysadm,2019-08-23 15:42:46,NULL,sysadm,2019-12-04 17:02:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_FF_Warehouse_Operator_NC_Manager,9154948988913277283,sysadm,2019-08-23 15:43:01,NULL,sysadm,2019-12-04 17:02:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
eSIM Storage,9156807317513872241,sysadm,2020-03-25 17:40:17,NULL,sysadm,2020-03-25 17:41:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Administrators,100,NULL,NULL,NULL,sysadm,2020-08-31 11:30:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Search Engine roles,8012550816013963231,NULL,NULL,NULL,sysadm,2017-05-27 05:59:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Calculable attribute index,8012550816013963233,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Class based optimization configuration view,8012550816013963247,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Query based optimization configuration administrator,8012550816013963249,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Data Access Administrator,8100746646013879838,NULL,NULL,NULL,sysadm,2017-05-27 05:56:50,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BAM Administrator,8111962582013915358,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC Internal Tools Read-Only,8120316739013070001,NULL,NULL,NULL,sysadm,2017-06-10 02:53:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Process Orchestrator Configurator,9100867360013531020,sysadm,2009-10-08 19:12:30,NULL,Administrator,2010-03-18 14:31:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Process Orchestrator Roles,9100871100013531198,NULL,NULL,NULL,sysadm,2017-05-27 06:03:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Error Handling Roles,9100959100013533276,NULL,NULL,NULL,sysadm,2017-05-27 06:01:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Admin Lite,9112520182013856387,sysadm,2009-11-25 12:03:00,NULL,sysadm,2017-06-10 02:55:02,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Shared Search Profiles Editor,9125418806713894035,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Assignment Centre,9130663430013016312,Administrator,2011-12-12 19:47:00,NULL,sysadm,2011-12-29 13:37:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Engineering Group,9130663430013016314,Administrator,2011-12-12 19:47:22,NULL,sysadm,2011-12-29 13:37:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Trouble Ticket Management,9130808085013338711,NULL,NULL,NULL,sysadm,2017-05-27 05:59:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SCM SuperUsers,9131103532813974209,sysadm,2012-02-01 17:27:15,NULL,sysadm,2012-05-23 11:39:51,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Work Item Users,9131336579613906623,NULL,NULL,NULL,sysadm,2017-05-27 05:58:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Data Sources Configurator,9132139352413204359,sysadm,2012-05-31 16:12:47,NULL,sysadm,2012-05-31 16:17:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Dispatcher,9132934422213157225,Administrator,2012-08-31 16:15:59,NULL,Administrator,2012-09-05 12:36:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BAC settings viewer,9133582394613103301,sysadm,2009-11-25 12:03:00,NULL,sysadm,2009-11-29 18:33:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Modify Revenue Splits,9136555100013918993,sysadm,2013-10-24 19:03:02,NULL,sysadm,2013-11-12 15:18:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Opportunity Security Matrix,9136556633113919870,sysadm,2013-10-24 23:07:01,NULL,sysadm,2013-10-29 11:39:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Opportunity,9136556633113919874,sysadm,2013-10-24 23:11:21,NULL,sysadm,2013-10-24 23:11:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Generate Proposal Document,9136557870213920334,sysadm,2013-10-25 01:21:26,NULL,sysadm,2013-11-08 05:59:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Cancel Proposal,9136557870213920335,sysadm,2013-10-25 01:22:19,NULL,sysadm,2013-10-25 01:22:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Competitor,9136709649813997157,sysadm,2013-11-11 15:04:41,NULL,sysadm,2013-11-11 15:12:06,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OOB Unused View Residential Customer Account,9136728694813008907,sysadm,2013-11-13 19:43:06,NULL,sysadm,2019-05-28 11:17:07,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Lead Summary Page,9136844300113043041,sysadm,2013-11-27 04:58:24,NULL,sysadm,2013-11-27 11:29:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Reconciliation Discrepancy Report RO Users,9136865389913507142,Administrator,2013-11-29 16:11:43,NULL,Administrator,2013-12-02 13:54:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Sales Stage History,9136911193013081122,sysadm,2013-12-04 23:30:19,NULL,sysadm,2013-12-04 23:30:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SCM Users,9137082536413278743,NULL,NULL,NULL,sysadm,2017-05-27 06:04:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Reseller Administrator,9138014270313675499,sysadm,2014-04-11 16:24:17,NULL,egpo0414,2014-06-19 11:57:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sales Agent,9138369607113323217,gvs,2014-05-22 17:55:53,NULL,gvs,2014-05-26 11:21:32,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Distributor Sales Agent,9138369607113323219,gvs,2014-05-22 17:56:49,NULL,gvs,2014-05-22 18:10:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NetCracker system engineers,9140130399813457785,sysadm,2014-12-12 14:23:15,NULL,sysadm,2014-12-16 10:59:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse Managers,9142038578013449557,sysadm,2015-07-21 09:49:34,NULL,sysadm,2015-07-21 10:40:14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
PLM Testers,9142809182013589050,sysadm,2015-10-18 13:59:16,NULL,Administrator,2015-12-24 18:32:33,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Field Technician Group,9147116522013806956,sysadm,2017-02-28 02:50:13,NULL,sysadm,2017-05-27 06:02:04,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Service A,9147377015513858143,RBrown,2017-03-30 06:23:17,NULL,sysadm,2017-11-16 09:38:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Service Director,9147377015513858161,sysadm,2017-03-30 06:24:10,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Finance Administrator,9147377015513858173,sysadm,2017-03-30 06:24:45,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse Administrator,9147377069913858233,sysadm,2017-03-30 06:31:46,NULL,sysadm,2017-11-10 07:36:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse Manager,9147377069913858236,sysadm,2017-03-30 06:31:54,NULL,sysadm,2017-10-12 04:03:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - View Parameters,9147377069913858288,sysadm,2017-03-30 07:13:02,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Credit Check - View History,9147377069913858297,sysadm,2017-03-30 07:13:28,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Location - View,9147377069913858312,sysadm,2017-03-30 07:14:10,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Location - Full Access,9147377069913858315,sysadm,2017-03-30 07:14:17,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contact Management - Full Access,9147377069913858324,sysadm,2017-03-30 07:14:40,NULL,sysadm,2017-03-30 07:22:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Rewards - View,9147377330013858365,sysadm,2017-03-30 07:16:30,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CSR Desktop (OOB),9147377330013858389,sysadm,2017-03-30 07:17:35,NULL,sysadm,2019-05-16 08:05:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Notifications Dictionary Configuration,9147377330013858395,sysadm,2017-03-30 07:17:49,NULL,sysadm,2017-03-30 07:19:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Contracts - Full Access,9147439010013881748,sysadm,2017-04-06 10:35:49,NULL,sysadm,2019-05-29 09:15:36,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Additional Agreements - View,9147439010013881757,sysadm,2017-04-06 10:36:15,NULL,sysadm,2017-04-06 10:36:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Minor Change - Full Access,9147439010013881766,sysadm,2017-04-06 10:36:37,NULL,sysadm,2017-04-06 10:36:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Lifeline Profile - 1,9147550106113889601,sysadm,2017-04-19 07:51:52,NULL,sysadm,2017-04-19 08:13:14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Lifeline Profile - 2,9147550106113889628,sysadm,2017-04-19 08:12:09,NULL,sysadm,2017-04-19 08:14:56,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Deposits Management - View,9147550474613889662,sysadm,2017-04-19 08:15:35,NULL,sysadm,2017-04-19 08:15:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Payment Management - View,9147550474613889683,sysadm,2017-04-19 08:17:42,NULL,sysadm,2017-04-19 08:17:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Disputes Management - View,9147550474613889691,sysadm,2017-04-19 08:17:59,NULL,sysadm,2017-04-19 08:17:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
One-Time Services - Full Access,9147550474613889727,sysadm,2017-04-19 08:19:32,NULL,sysadm,2017-04-19 08:19:32,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Usage Events - Full Access,9147550517913889736,sysadm,2017-04-19 08:19:52,NULL,sysadm,2017-04-25 10:07:51,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Approval User Role I,9147601941713912378,sysadm,2017-04-25 07:52:54,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Approval User Role III,9147601941713912386,sysadm,2017-04-25 07:53:21,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Usage Events - View,9147602960013932261,sysadm,2017-04-25 10:08:07,NULL,sysadm,2017-04-25 10:08:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AM,9147609425213933185,sysadm,2017-04-26 04:55:14,NULL,sysadm,2017-04-26 05:04:00,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
'Available Quantity by Model' Report,9147609425213933196,sysadm,2017-04-26 05:01:45,NULL,sysadm,2017-04-26 05:01:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AM - Process Orchestrator Tasks - Full Access,9147609425213933216,sysadm,2017-04-26 05:02:49,NULL,sysadm,2017-04-26 05:02:49,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Stock Item Search,9147609425213933228,sysadm,2017-04-26 05:03:17,NULL,sysadm,2017-04-26 05:03:17,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OM Operations - Manual Tasks,9147609820413933260,sysadm,2017-04-26 05:11:45,NULL,sysadm,2017-04-26 05:11:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
RI,9147610250013933352,sysadm,2017-04-26 06:39:38,NULL,sysadm,2017-04-26 06:43:04,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Network Elements - eMTA&DLC/PON,9147610250013933389,sysadm,2017-04-26 06:41:37,NULL,sysadm,2017-04-26 06:41:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Network Elements - Full Access,9147610250013933392,sysadm,2017-04-26 06:41:45,NULL,sysadm,2017-04-26 06:41:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Ports - View,9147610250013933404,sysadm,2017-04-26 06:42:11,NULL,sysadm,2017-04-26 06:42:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Release Resources,9147610250013933412,sysadm,2017-04-26 06:42:41,NULL,sysadm,2017-04-26 06:42:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Templates - Full Access,9147610250013933418,sysadm,2017-04-26 06:42:58,NULL,sysadm,2017-04-26 06:42:58,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Navigation - Administrative Access,9147610490013933441,sysadm,2017-04-26 06:56:35,NULL,sysadm,2017-04-26 06:56:35,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
User Profile  - Warehouses,9147610490013933473,sysadm,2017-04-26 06:57:42,NULL,sysadm,2017-04-26 06:57:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Asset Management Group,9148059670213671824,sysadm,2017-06-17 06:57:43,NULL,sysadm,2017-06-17 07:07:00,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Service Group,9148059792413671904,sysadm,2017-06-17 07:10:17,NULL,sysadm,2017-06-17 07:11:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Privileged Users Group,9148059880613671982,sysadm,2017-06-17 07:17:33,NULL,sysadm,2017-06-17 07:18:58,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Read-Only Group,9148059880613672007,sysadm,2017-06-17 07:19:20,NULL,sysadm,2017-06-17 07:19:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
ETF Standard Report,9148153581813666574,sysadm,2017-06-28 03:34:55,NULL,sysadm,2017-06-28 03:34:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Financed Devices Report,9148153581813666579,sysadm,2017-06-28 03:35:02,NULL,sysadm,2017-06-28 03:35:02,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Invoice/Payment Reconciliation Report,9148153581813666588,sysadm,2017-06-28 03:35:27,NULL,sysadm,2017-06-28 03:35:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: AeroVoice,9148206643213654132,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: HTC,9148206643213654144,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: SAGE,9148207744413654637,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Verykool,9148207744413654645,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: i1 Mobile,9148207744413654648,sysadm,2017-07-04 05:52:30,NULL,sysadm,2017-07-04 06:13:11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - Params and Apple Care,9148317510913673800,sysadm,2017-07-17 04:46:31,NULL,sysadm,2017-07-17 06:02:17,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CIM Configuration Parameters,9148317510913673805,sysadm,2017-07-17 04:46:48,NULL,sysadm,2017-07-17 06:06:17,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can edit a Sales Order,9148585616013660269,sysadm,2017-08-17 04:34:27,NULL,sysadm,2019-05-15 12:24:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can release a locked Sales Order,9148585616013660286,sysadm,2017-08-17 04:35:30,NULL,sysadm,2019-05-15 12:25:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can checkout,9148585985213660335,sysadm,2017-08-17 04:37:42,NULL,sysadm,2019-05-15 13:12:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
User Profile - Current Store,9148587518113660664,sysadm,2017-08-17 08:57:57,NULL,sysadm,2017-08-17 09:20:34,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TS Manager,9148810832413702170,sysadm,2017-09-12 05:16:21,NULL,sysadm,2017-10-12 04:03:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - Without Employee Checkbox,9149078332213736406,sysadm,2017-10-13 04:26:26,NULL,sysadm,2017-10-13 04:26:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Additional Agreements - Attach Document,9149113520913747327,sysadm,2017-10-17 06:30:00,NULL,sysadm,2017-10-17 06:30:00,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts - 3,9149139800013755512,sysadm,2017-10-20 07:03:54,NULL,sysadm,2017-10-20 07:03:54,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Address Management - 4,9149139800013755530,sysadm,2017-10-20 07:05:01,NULL,sysadm,2017-10-20 07:05:01,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Disputes Management - Acceptance and Approval,9149182642413694824,sysadm,2017-10-25 07:49:03,NULL,sysadm,2017-10-25 07:49:03,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Billing Account - 7,9149182642413694844,sysadm,2017-10-25 07:52:07,NULL,sysadm,2017-10-25 07:52:07,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Operations Menu - Export,9149311088613714053,sysadm,2017-11-09 02:57:04,NULL,sysadm,2017-11-09 03:05:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OOB - Read Only,9149605295113726320,sysadm,2017-12-13 04:40:08,NULL,sysadm,2017-12-13 05:13:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Service Connect Disconnect Report,9149664140013680425,sysadm,2017-12-20 05:14:55,NULL,sysadm,2017-12-20 05:14:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Notifications Report,9149664140013680428,sysadm,2017-12-20 05:15:15,NULL,sysadm,2017-12-20 05:15:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Number of Created Sales Orders Report,9149664140013680486,sysadm,2017-12-20 07:17:21,NULL,sysadm,2017-12-20 07:17:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Product Reports 1,9149664140013680492,sysadm,2017-12-20 07:17:44,NULL,sysadm,2017-12-20 07:17:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Can replicate,9149673860013683408,sysadm,2017-12-21 02:50:05,NULL,sysadm,2019-05-15 12:22:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OM Operations - 2,9149673860013683437,sysadm,2017-12-21 05:50:49,NULL,sysadm,2017-12-21 05:50:49,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Shipment Orders Search,9149682587113686232,sysadm,2017-12-22 03:39:52,NULL,sysadm,2017-12-22 03:40:12,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
"Modify the ""911 Address"" characteristic",9149992285513705298,sysadm,2018-01-27 04:40:45,NULL,sysadm,2018-01-27 04:40:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sales Order Search,9150286040713796372,sysadm,2018-03-02 01:58:52,NULL,sysadm,2018-03-02 01:58:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Number of Products with Grandfather Offerings Report,9151008920013957740,sysadm,2018-05-25 04:27:27,NULL,sysadm,2018-05-25 04:27:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Accounts Product Orders Report,9151013765413957822,sysadm,2018-05-25 04:28:44,NULL,sysadm,2018-05-25 04:28:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Product Dependencies Report,9151013765413957826,sysadm,2018-05-25 04:29:13,NULL,sysadm,2018-05-25 04:29:13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TAR Roles,9151059932013335197,sysadm,2018-05-30 12:57:47,NULL,sysadm,2018-05-30 12:58:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TAR Configurator,9151059932013335202,sysadm,2018-05-30 12:58:08,NULL,sysadm,2018-05-30 12:58:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Orders in Jeopardy Report,9151585130513590592,sysadm,2018-07-30 07:36:15,NULL,sysadm,2018-07-30 07:51:31,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
ODT Scheduler Admin,9152087898013962783,sysadm,2018-09-26 12:21:09,NULL,sysadm,2018-09-26 12:21:09,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SCM External Export Users,9152734986313928330,sysadm,2018-12-10 09:56:03,NULL,sysadm,2018-12-11 09:05:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Notification_Role_2,9153779024513227633,sysadm,2019-04-10 05:44:42,NULL,sysadm,2019-06-14 12:14:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF Functional Roles,9153978650013311027,sysadm,2019-05-03 08:18:49,NULL,sysadm,2019-05-03 08:21:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Residential Customer Account,9153978650013311045,sysadm,2019-05-03 08:21:53,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Business Customer Account,9153978758013311100,sysadm,2019-05-03 08:36:39,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Override Individual duplicate check,9153978758013311150,sysadm,2019-05-03 08:42:30,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
RCA Search,9153978758013311160,sysadm,2019-05-03 08:43:35,NULL,sysadm,2019-05-28 17:07:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Manage Consent Type,9153978758013311169,sysadm,2019-05-03 08:44:11,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Configure Notification Type,9153978758013311172,sysadm,2019-05-03 08:44:37,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Individual Standalone Search,9153978830013311186,sysadm,2019-05-03 08:45:41,NULL,sysadm,2019-05-28 17:07:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
New Credit Check Record,9153978830013311190,sysadm,2019-05-03 08:46:05,NULL,sysadm,2019-05-30 12:41:42,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create Activity,9153978830013311203,sysadm,2019-05-03 08:47:59,NULL,sysadm,2019-05-28 17:07:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Activity,9153978830013311210,sysadm,2019-05-03 08:48:34,NULL,sysadm,2019-05-28 17:07:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Incubation Team Leader,9153978830013311246,sysadm,2019-05-03 08:53:36,NULL,sysadm,2019-06-27 16:49:28,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Logistics Operator,9153978830013311258,sysadm,2019-05-03 08:54:13,NULL,sysadm,2019-06-14 08:10:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Billing Quality Management & Collection AR,9153978830013311267,sysadm,2019-05-03 08:54:58,NULL,sysadm,2019-06-14 08:10:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_Contractor Dispatcher (OBSOLETE - DO NOT USE),9153978894113311283,sysadm,2019-05-03 08:55:54,NULL,sysadm,2019-10-01 13:37:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_Contractor_Technician,9153978894113311287,sysadm,2019-05-03 08:56:06,NULL,sysadm,2019-12-04 17:02:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NC_FF Warehouse Operator,9153978894113311290,sysadm,2019-05-03 08:56:20,NULL,sysadm,2019-06-14 08:10:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF CBM,9154067120013284004,sysadm,2019-05-13 14:15:04,NULL,sysadm,2019-05-13 17:39:52,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Cancel Dispute,9154068052013284507,sysadm,2019-05-13 16:55:09,NULL,sysadm,2019-05-13 16:57:36,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Adjustments,9154068278013284590,sysadm,2019-05-13 17:26:35,NULL,sysadm,2019-05-13 17:27:56,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Cancel One-Time Service,9154068412013284675,sysadm,2019-05-13 17:38:01,NULL,sysadm,2019-05-13 17:39:02,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create ZIP Code,9154068752013314235,sysadm,2019-05-13 18:32:00,NULL,sysadm,2019-05-31 14:09:18,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Address Units,9154068752013314246,sysadm,2019-05-13 18:34:08,NULL,sysadm,2019-05-13 18:34:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Edit Attribute SA Validation Expiration Period,9154068752013314293,sysadm,2019-05-13 18:38:43,NULL,sysadm,2019-05-13 18:38:43,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF OM,9154074664913282692,sysadm,2019-05-14 11:21:30,NULL,sysadm,2019-05-17 10:11:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
