group_value,group_id,created_by_value,created_when,email,modified_by_value,modified_when,extraction_timestamp,date,history_date
appNC_Dispatcher,9153978830013311277,sysadm,2019-05-03 08:55:23,NULL,sysadm,2019-12-04 17:02:10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
appNC_Manager,9153978894113311280,sysadm,2019-05-03 08:55:41,NULL,sysadm,2019-12-04 14:27:03,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Modify Postpaid Billing Account Details,9154067120013284028,sysadm,2019-05-13 14:17:58,NULL,sysadm,2019-05-13 14:27:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify Dispute,9154068052013284484,sysadm,2019-05-13 16:49:34,NULL,sysadm,2019-05-13 17:41:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF ADM,9154068608013314223,sysadm,2019-05-13 18:30:47,NULL,sysadm,2019-05-13 18:39:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Configure SA Item,9154068752013314271,sysadm,2019-05-13 18:36:39,NULL,sysadm,2019-05-13 18:41:32,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Access Parameters Items,9154068752013314274,sysadm,2019-05-13 18:36:57,NULL,sysadm,2019-05-13 18:36:57,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Configure Access Parameters Items,9154068752013314290,sysadm,2019-05-13 18:38:16,NULL,sysadm,2019-05-13 18:41:59,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Group Tasks Widget,9154074664913282713,sysadm,2019-05-14 11:24:57,NULL,sysadm,2019-05-17 14:39:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Active Tasks View,9154074832013282739,sysadm,2019-05-14 11:26:30,NULL,sysadm,2019-05-17 17:26:34,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF CM/DM,9154082084013317812,sysadm,2019-05-15 07:38:05,NULL,sysadm,2019-05-20 10:58:30,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Configure Contract Templates,9154082084013317827,sysadm,2019-05-15 07:40:16,NULL,sysadm,2019-05-15 07:40:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify/Delete Item,9154084218113358553,sysadm,2019-05-15 13:44:22,NULL,sysadm,2019-05-15 13:44:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Item,9154084218113358575,sysadm,2019-05-15 13:51:08,NULL,sysadm,2019-05-15 13:51:08,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Any Warehouse,9154084218113358593,sysadm,2019-05-15 13:54:50,NULL,sysadm,2019-05-15 13:54:50,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Move Order [Transfer],9154084556913358735,sysadm,2019-05-15 14:28:31,NULL,sysadm,2019-05-15 14:28:31,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Cancel Move Order [Transfer],9154084556913358748,sysadm,2019-05-15 14:29:37,NULL,sysadm,2019-05-15 14:29:37,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Close Move Order [Transfer] Manually,9154084556913358760,sysadm,2019-05-15 14:30:03,NULL,sysadm,2019-05-15 14:30:03,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Shipment Order [Physical Verification],9154084556913358772,sysadm,2019-05-15 14:30:49,NULL,sysadm,2019-05-15 14:30:49,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View Asset Management Tasks assigned to other Asset Management Users based on Warehouse type,9154084556913358797,sysadm,2019-05-15 14:32:25,NULL,sysadm,2019-05-15 14:32:55,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Send for Review CIT,9154091660013322489,sysadm,2019-05-16 10:43:39,NULL,sysadm,2019-05-16 10:49:44,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create CCT,9154091865113322500,sysadm,2019-05-16 10:44:20,NULL,sysadm,2019-05-16 10:51:23,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View NCT,9154091865113322523,sysadm,2019-05-16 10:45:16,NULL,sysadm,2019-05-16 10:45:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Send for Review NCT,9154091865113322540,sysadm,2019-05-16 10:45:57,NULL,sysadm,2019-05-16 10:54:31,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Approve/Reject NCT,9154091865113322544,sysadm,2019-05-16 10:46:07,NULL,sysadm,2019-05-16 10:54:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
View field works,9154091865113322562,sysadm,2019-05-16 10:46:59,NULL,sysadm,2019-08-07 13:00:29,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Configure Document Templates,9154125440413284510,sysadm,2019-05-20 08:33:19,NULL,sysadm,2019-05-20 08:41:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
VF Security,9154161524013290844,sysadm,2019-05-24 12:18:30,NULL,sysadm,2019-05-24 12:28:03,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify/Delete Employee Activity (all types and patterns),9154187482513311197,sysadm,2019-05-27 12:24:14,NULL,sysadm,2019-05-27 12:24:14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Create/Modify/Delete Position,9154187482513311200,sysadm,2019-05-27 12:24:38,NULL,sysadm,2019-05-27 12:24:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
