contact_method_id,contact_type_method_id,is_preferred_flag,email_type_id,email_type_value,mobile_type_id,mobile_type_value,contact_days,contact_hours,phone_type_id,phone_type_value,social_profile_type_id,social_profile_type_value,method_end_date,extraction_timestamp,date,history_date
9158602947513912970,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602949113912863,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603376713913190,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605073213978800,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605166213979814,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158638220513190356,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158638221513190356,9147359779513855381,No,NULL,NULL,9135207080013612944,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602850713908874,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602854613908984,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602865513909475,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602865713909375,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602866113909359,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602866613909259,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602867613909259,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602872713909985,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602874313909726,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602896313911070,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602897013910941,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602931113912199,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602933813911551,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602937513911527,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602938813911991,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602939113911651,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602939813911991,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602943713912113,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946113912213,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947113912213,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947913912219,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
